DateHeader,Hub,SettlementPrice
2026-07-31,San Juan (EP),2.4
2026-07-28,Socal-Border,3.455
2026-07-29,Socal-Border,3.025
2026-07-30,Socal-Border,3.0618
2026-07-31,Socal-Border,3.46
2026-07-28,Socal-Citygate,4.225
2026-07-29,Socal-Citygate,3.9
2026-07-30,Socal-Citygate,3.8515
2026-07-31,Socal-Citygate,4.1
2026-07-28,Sonat-Z0,3.7
2026-07-29,Sonat-Z0,3.545
2026-07-30,Sonat-Z0,3.4958
2026-07-31,Sonat-Z0,3.45
2026-07-28,Southern Star,2.485
2026-07-29,Southern Star,2.45
2026-07-30,Southern Star,2.3982
2026-07-31,Southern Star,2.32
2026-07-28,TCO,2.145
2026-07-29,TCO,2.1
2026-07-30,TCO,1.9983
2026-07-31,TCO,1.973
2026-07-28,TETCO-ELA,2.52
2026-07-29,TETCO-ELA,2.375
2026-07-30,TETCO-ELA,2.3531
2026-07-31,TETCO-ELA,2.412
2026-07-28,TETCO-M2 (receipts),2.03
2026-07-29,TETCO-M2 (receipts),1.98
2026-07-30,TETCO-M2 (receipts),1.8937
2026-07-31,TETCO-M2 (receipts),1.7725
2026-07-28,TETCO-M3,2.115
2026-07-29,TETCO-M3,2.05
2026-07-30,TETCO-M3,1.952
2026-07-31,TETCO-M3,2.0275
2026-07-28,TETCO-STX,2.43
2026-07-29,TETCO-STX,2.35
2026-07-30,TETCO-STX,2.34
2026-07-31,TETCO-STX,2.24
2026-07-28,TETCO-WLA,2.485
2026-07-29,TETCO-WLA,2.415
2026-07-30,TETCO-WLA,2.3866
2026-07-31,TETCO-WLA,2.425
2026-07-28,TGP-500L,3.615
2026-07-29,TGP-500L,3.495
2026-07-30,TGP-500L,3.4859
2026-07-31,TGP-500L,3.45
2026-07-28,TGP-800L,2.495
2026-07-29,TGP-800L,2.42
2026-07-30,TGP-800L,2.3744
2026-07-31,TGP-800L,2.4
2026-07-28,TGP-Z0,2.435
2026-07-29,TGP-Z0,2.365
2026-07-30,TGP-Z0,2.3334
2026-07-31,TGP-Z0,2.24
2026-07-28,TGP-Z1,2.52
2026-07-29,TGP-Z1,2.44
2026-07-30,TGP-Z1,2.444
2026-07-31,TGP-Z1,2.444
2026-07-28,TGP-Z4 200L,2.16
2026-07-29,TGP-Z4 200L,2.105
2026-07-30,TGP-Z4 200L,1.9579
2026-07-31,TGP-Z4 200L,2.1625
2026-07-28,TGP-Z4 300L,1.925
2026-07-29,TGP-Z4 300L,1.915
2026-07-30,TGP-Z4 300L,1.8062
2026-07-31,TGP-Z4 300L,1.8035
2026-07-28,TGP-Z6 200L North,2.5
2026-07-29,TGP-Z6 200L North,2.44
2026-07-30,TGP-Z6 200L North,2.35
2026-07-31,TGP-Z6 200L North,2.215
2026-07-28,TGP-Z6 200L South,2.34
2026-07-29,TGP-Z6 200L South,2.24
2026-07-30,TGP-Z6 200L South,2.15
2026-07-31,TGP-Z6 200L South,2.163
2026-07-28,TGT (Zone 1),2.515
2026-07-29,TGT (Zone 1),2.42
2026-07-30,TGT (Zone 1),2.3931
2026-07-31,TGT (Zone 1),2.37
2026-07-28,Transco-165,2.095
2026-07-29,Transco-165,2.05
2026-07-30,Transco-165,1.952
2026-07-31,Transco-165,1.8402
2026-07-28,Transco-30,2.375
2026-07-29,Transco-30,2.4
2026-07-30,Transco-30,2.3409
2026-07-31,Transco-30,2.25
2026-07-28,Transco-45,2.53
2026-07-29,Transco-45,2.45
2026-07-30,Transco-45,2.3938
2026-07-31,Transco-45,2.6255
2026-07-28,Transco-65,3.745
2026-07-29,Transco-65,3.515
2026-07-30,Transco-65,3.4982
2026-07-31,Transco-65,3.525
2026-07-28,Transco-85,3.795
2026-07-29,Transco-85,3.585
2026-07-30,Transco-85,3.5334
2026-07-31,Transco-85,3.55
2026-07-28,Transco-Leidy,2.05
2026-07-29,Transco-Leidy,1.98
2026-07-30,Transco-Leidy,1.8827
2026-07-31,Transco-Leidy,2.033
2026-07-28,Transco-Z3,3.02
2026-07-29,Transco-Z3,2.78
2026-07-30,Transco-Z3,3.5334
2026-07-31,Transco-Z3,3.55
2026-07-28,Transco-Z5,3.48
2026-07-29,Transco-Z5,3.225
2026-07-30,Transco-Z5,3.6087
2026-07-31,Transco-Z5,2.6435
2026-07-28,Transco-Z5 South,3.91
